Nombre,RangoT,Rango40-50,Rango30-40,Rango20-30,Rango10-20,%Calidad,Directorio
291.bmp,30 - 40,5.91,94.09,0.0,0.0,14.52,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\291.bmp
292.bmp,30 - 40,4.49,95.51,0.0,0.0,14.61,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\292.bmp
293.bmp,30 - 40,4.37,95.63,0.0,0.0,14.52,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\293.bmp
294.bmp,30 - 40,4.49,95.51,0.0,0.0,14.44,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\294.bmp
295.bmp,30 - 40,4.16,95.84,0.0,0.0,14.13,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\295.bmp
296.bmp,30 - 40,3.81,96.19,0.0,0.0,13.9,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\296.bmp
297.bmp,30 - 40,4.21,95.79,0.0,0.0,14.13,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\297.bmp
298.bmp,30 - 40,3.89,96.11,0.0,0.0,14.0,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\298.bmp
299.bmp,30 - 40,4.52,95.48,0.0,0.0,13.87,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\299.bmp
300.bmp,30 - 40,4.35,95.65,0.0,0.0,13.6,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\300.bmp
301.bmp,30 - 40,4.53,95.47,0.0,0.0,13.52,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\301.bmp
302.bmp,30 - 40,5.03,94.97,0.0,0.0,12.52,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\302.bmp
303.bmp,30 - 40,5.29,94.71,0.0,0.0,12.38,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\303.bmp
304.bmp,30 - 40,5.46,94.54,0.0,0.0,12.18,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\304.bmp
305.bmp,30 - 40,5.25,94.75,0.0,0.0,12.41,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\305.bmp
306.bmp,30 - 40,5.08,94.92,0.0,0.0,12.29,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\306.bmp
307.bmp,30 - 40,4.85,95.15,0.0,0.0,11.93,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\307.bmp
308.bmp,30 - 40,4.87,95.13,0.0,0.0,12.08,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\308.bmp
309.bmp,30 - 40,5.08,94.92,0.0,0.0,12.04,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\309.bmp
310.bmp,30 - 40,5.24,94.76,0.0,0.0,12.13,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\310.bmp
311.bmp,30 - 40,6.28,93.72,0.0,0.0,11.64,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\311.bmp
312.bmp,30 - 40,6.16,93.84,0.0,0.0,11.56,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\312.bmp
313.bmp,30 - 40,5.82,94.18,0.0,0.0,11.57,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\313.bmp
314.bmp,30 - 40,6.06,93.94,0.0,0.0,11.58,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\314.bmp
315.bmp,30 - 40,6.51,93.49,0.0,0.0,11.44,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\315.bmp
316.bmp,30 - 40,5.79,94.21,0.0,0.0,11.33,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\316.bmp
317.bmp,30 - 40,7.03,92.97,0.0,0.0,11.15,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\317.bmp
318.bmp,30 - 40,7.29,92.71,0.0,0.0,11.17,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\318.bmp
319.bmp,30 - 40,6.28,93.72,0.0,0.0,11.02,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\319.bmp
320.bmp,30 - 40,7.52,92.48,0.0,0.0,10.61,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\320.bmp
321.bmp,30 - 40,7.65,92.35,0.0,0.0,10.53,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\321.bmp
322.bmp,30 - 40,8.72,91.28,0.0,0.0,10.49,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\322.bmp
323.bmp,30 - 40,9.49,90.51,0.0,0.0,10.45,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\323.bmp
324.bmp,30 - 40,8.99,91.01,0.0,0.0,10.51,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\324.bmp
325.bmp,30 - 40,8.07,91.93,0.0,0.0,10.48,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\325.bmp
326.bmp,30 - 40,10.22,89.78,0.0,0.0,10.09,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\326.bmp
327.bmp,30 - 40,8.78,91.22,0.0,0.0,10.1,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\327.bmp
328.bmp,30 - 40,8.61,91.39,0.0,0.0,9.96,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\328.bmp
214.bmp,30 - 40,23.55,76.45,0.0,0.0,13.45,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\214.bmp
215.bmp,30 - 40,22.2,77.8,0.0,0.0,13.41,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\215.bmp
216.bmp,30 - 40,20.44,79.56,0.0,0.0,13.39,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\216.bmp
217.bmp,30 - 40,22.69,77.31,0.0,0.0,13.43,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\217.bmp
218.bmp,30 - 40,22.51,77.49,0.0,0.0,13.43,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\218.bmp
219.bmp,30 - 40,21.52,78.48,0.0,0.0,13.37,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\219.bmp
220.bmp,30 - 40,21.6,78.4,0.0,0.0,13.39,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\220.bmp
221.bmp,30 - 40,20.82,79.18,0.0,0.0,13.22,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\221.bmp
222.bmp,30 - 40,21.05,78.95,0.0,0.0,13.38,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\222.bmp
223.bmp,30 - 40,19.61,80.39,0.0,0.0,13.63,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\223.bmp
224.bmp,30 - 40,19.07,80.93,0.0,0.0,13.54,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\224.bmp
225.bmp,30 - 40,18.54,81.46,0.0,0.0,13.56,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\225.bmp
226.bmp,30 - 40,17.83,82.17,0.0,0.0,13.73,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\226.bmp
227.bmp,30 - 40,16.99,83.01,0.0,0.0,13.82,C:\Users\Arasasar\Documents\proyecto\termograf-a-de-precisi-n\Grafica2\static\227.bmp
