archivo,40 - 50,30 - 40,20 - 30,0 - 10,%
214.bmp,1.29,98.71,0.0,0.0,93.18
215.bmp,1.25,98.75,0.0,0.0,93.08
216.bmp,1.77,98.23,0.0,0.0,91.56
217.bmp,1.89,98.11,0.0,0.0,91.58
218.bmp,1.17,98.83,0.0,0.0,92.73
219.bmp,1.18,98.82,0.0,0.0,91.58
220.bmp,1.4,98.6,0.0,0.0,92.73
221.bmp,2.29,97.71,0.0,0.0,91.19
222.bmp,1.75,98.25,0.0,0.0,91.31
223.bmp,1.89,98.11,0.0,0.0,90.13
224.bmp,1.5,98.5,0.0,0.0,90.29
225.bmp,2.17,97.83,0.0,0.0,87.57
226.bmp,2.29,97.71,0.0,0.0,87.09
227.bmp,2.07,97.93,0.0,0.0,86.59
228.bmp,2.46,97.54,0.0,0.0,86.2
229.bmp,2.42,97.58,0.0,0.0,87.11
230.bmp,2.98,97.02,0.0,0.0,84.8
231.bmp,2.94,97.06,0.0,0.0,86.1
232.bmp,2.99,97.01,0.0,0.0,85.35
233.bmp,3.1,96.9,0.0,0.0,84.03
234.bmp,2.99,97.01,0.0,0.0,84.65
235.bmp,2.9,97.1,0.0,0.0,85.9
236.bmp,2.99,97.01,0.0,0.0,86.25
237.bmp,2.99,97.01,0.0,0.0,86.25
238.bmp,2.86,97.14,0.0,0.0,83.74
239.bmp,3.0,97.0,0.0,0.0,85.6
240.bmp,3.11,96.89,0.0,0.0,85.22
241.bmp,2.73,97.27,0.0,0.0,85.91
242.bmp,2.89,97.11,0.0,0.0,85.09
243.bmp,2.98,97.02,0.0,0.0,86.4
244.bmp,2.77,97.23,0.0,0.0,88.02
245.bmp,2.81,97.19,0.0,0.0,87.29
246.bmp,2.69,97.31,0.0,0.0,86.64
247.bmp,2.68,97.32,0.0,0.0,88.12
248.bmp,2.87,97.13,0.0,0.0,88.21
249.bmp,2.62,97.38,0.0,0.0,88.24
250.bmp,2.56,97.44,0.0,0.0,87.72
251.bmp,2.66,97.34,0.0,0.0,88.62
252.bmp,2.65,97.35,0.0,0.0,87.02
253.bmp,2.04,97.96,0.0,0.0,88.06
254.bmp,2.36,97.64,0.0,0.0,87.85
255.bmp,2.52,97.48,0.0,0.0,87.42
292.bmp,3.84,96.16,0.0,0.0,71.73
293.bmp,3.82,96.18,0.0,0.0,71.57
294.bmp,4.0,96.0,0.0,0.0,71.36
295.bmp,3.95,96.05,0.0,0.0,69.96
296.bmp,3.86,96.14,0.0,0.0,68.61
297.bmp,3.78,96.22,0.0,0.0,69.47
298.bmp,3.64,96.36,0.0,0.0,69.18
299.bmp,3.96,96.04,0.0,0.0,68.12
300.bmp,3.91,96.09,0.0,0.0,66.82
301.bmp,4.28,95.72,0.0,0.0,66.64
302.bmp,4.26,95.74,0.0,0.0,61.23
303.bmp,4.61,95.39,0.0,0.0,59.55
