archivo,40 - 50,30 - 40,20 - 30,0 - 10,%
002.bmp,0,0,0,0,0
003.bmp,0,0,0,0,0
004.bmp,0,0,0,0,0
005.bmp,0,0,0,0,0
006.bmp,0,0,0,0,0
007.bmp,0,0,0,0,0
008.bmp,0,0,0,0,0
009.bmp,0,0,0,0,0
010.bmp,0,0,0,0,0
011.bmp,0,0,0,0,0
012.bmp,0,0,0,0,0
013.bmp,0,0,0,0,0
014.bmp,0,0,0,0,0
015.bmp,0,0,0,0,0
016.bmp,0,0,0,0,0
017.bmp,0,0,0,0,0
018.bmp,0,0,0,0,0
019.bmp,0,0,0,0,0
020.bmp,0,0,0,0,0
021.bmp,0,0,0,0,0
022.bmp,0,0,0,0,0
023.bmp,0,0,0,0,0
024.bmp,0,0,0,0,0
025.bmp,0,0,0,0,0
026.bmp,0,0,0,0,0
032.bmp,0,0,0,0,0
033.bmp,0,0,0,0,0
034.bmp,0,0,0,0,0
035.bmp,0,0,0,0,0
036.bmp,0,0,0,0,0
037.bmp,0,0,0,0,0
038.bmp,0,0,0,0,0
039.bmp,0,0,0,0,0
040.bmp,0,0,0,0,0
041.bmp,0,0,0,0,0
042.bmp,0,0,0,0,0
043.bmp,0,0,0,0,0
044.bmp,0,0,0,0,0
045.bmp,0,0,0,0,0
046.bmp,0,0,0,0,0
047.bmp,0,0,0,0,0
048.bmp,0,0,0,0,0
049.bmp,0,0,0,0,0
050.bmp,0,0,0,0,0
051.bmp,0,0,0,0,0
052.bmp,0,0,0,0,0
053.bmp,0,0,0,0,0
054.bmp,0,0,0,0,0
055.bmp,0,0,0,0,0
056.bmp,0,0,0,0,0
057.bmp,0,0,0,0,0
058.bmp,0,0,0,0,0
059.bmp,0,0,0,0,0
060.bmp,0,0,0,0,0
061.bmp,0,0,0,0,0
062.bmp,0,0,0,0,0
063.bmp,0,0,0,0,0
064.bmp,0,0,0,0,0
065.bmp,0,0,0,0,0
066.bmp,0,0,0,0,0
067.bmp,0,0,0,0,0
068.bmp,0,0,0,0,0
069.bmp,0,0,0,0,0
070.bmp,0,0,0,0,0
071.bmp,0,0,0,0,0
072.bmp,0,0,0,0,0
073.bmp,0,0,0,0,0
074.bmp,0,0,0,0,0
075.bmp,0,0,0,0,0
076.bmp,0,0,0,0,0
077.bmp,0,0,0,0,0
078.bmp,0,0,0,0,0
079.bmp,0,0,0,0,0
080.bmp,0,0,0,0,0
081.bmp,0,0,0,0,0
082.bmp,0,0,0,0,0
083.bmp,0,0,0,0,0
084.bmp,0,0,0,0,0
085.bmp,0,0,0,0,0
086.bmp,0,0,0,0,0
087.bmp,0,0,0,0,0
088.bmp,0,0,0,0,0
089.bmp,0,0,0,0,0
090.bmp,0,0,0,0,0
091.bmp,0,0,0,0,0
092.bmp,0,0,0,0,0
093.bmp,0,0,0,0,0
094.bmp,0,0,0,0,0
095.bmp,0,0,0,0,0
096.bmp,0,0,0,0,0
099.bmp,0,0,0,0,0
100.bmp,0,0,0,0,0
101.bmp,0,0,0,0,0
102.bmp,0,0,0,0,0
103.bmp,0,0,0,0,0
104.bmp,0,0,0,0,0
106.bmp,0,0,0,0,0
107.bmp,0,0,0,0,0
108.bmp,0,0,0,0,0
109.bmp,0,0,0,0,0
110.bmp,0,0,0,0,0
111.bmp,0,0,0,0,0
112.bmp,0,0,0,0,0
113.bmp,0,0,0,0,0
114.bmp,0,0,0,0,0
115.bmp,0,0,0,0,0
116.bmp,0,0,0,0,0
117.bmp,0,0,0,0,0
118.bmp,0,0,0,0,0
119.bmp,0,0,0,0,0
120.bmp,0,0,0,0,0
121.bmp,0,0,0,0,0
122.bmp,0,0,0,0,0
123.bmp,0,0,0,0,0
124.bmp,0,0,0,0,0
125.bmp,0,0,0,0,0
126.bmp,0,0,0,0,0
127.bmp,0,0,0,0,0
128.bmp,0,0,0,0,0
129.bmp,0,0,0,0,0
130.bmp,0,0,0,0,0
133.bmp,0,0,0,0,0
134.bmp,0,0,0,0,0
135.bmp,0,0,0,0,0
136.bmp,0,0,0,0,0
137.bmp,0,0,0,0,0
138.bmp,0,0,0,0,0
139.bmp,0,0,0,0,0
140.bmp,0,0,0,0,0
141.bmp,0,0,0,0,0
142.bmp,0,0,0,0,0
143.bmp,0,0,0,0,0
144.bmp,0,0,0,0,0
145.bmp,0,0,0,0,0
146.bmp,0,0,0,0,0
147.bmp,0,0,0,0,0
148.bmp,0,0,0,0,0
